Country Name,Country Code,broadband_subscriptions,capital_formation,credit_to_private_sector,fdi_inflows,gdp_growth,high_tech_exports,ict_imports,inflation_rate,internet_usage_rate,labor_productivity,market_capitalisation,rd_expenditure,real_interest_rate,secure_servers_density,stock_market_liquidity,tertiary_enrollment,Income Group
Bhutan,BTN,2.92069476099272,44.6066544838727,68.394271253229,0.338339566584512,4.63215704523927,0.0107261524845822,4.164651162790698,2.76131569624097,91.27739716,29545.9263306656,29.275103729502298,0.09979,5.61175529457669,1339.18870432229,7.1222559820276485,13.011259392916,Lower middle income
Bolivia,BOL,12.0711429622144,16.608811759145,59.2427794669511,0.652112801170427,-1.12335595517212,8.79395083358911,2.49,5.09976568317427,79.70469666,21296.2352266882,29.275103729502298,0.06308,2.60077611054795,364.447369618833,7.1222559820276485,24.818969647118575,Lower middle income
Bosnia and Herzegovina,BIH,29.3909178564419,24.4669748531952,48.267377161079,3.39024835333872,2.9715174617652,6.16317357059664,2.39,1.69212733599723,86.10091103,53676.4758343711,46.000353126090864,0.21437,0.303930251834686,5554.23349523568,23.542281764170973,45.5027618408203,Upper middle income
Botswana,BWA,7.4409622000215,28.2893193159531,32.9279208188927,2.40833479893043,-2.98986879467928,0.539469030954736,2.5,2.81835131676251,57.45950036,50958.19575659,20.0898734168511,0.48109393939393935,3.3846908835609,471.215589461747,0.53112907259297,21.4087908549348,Upper middle income
Brazil,BRA,24.079199344422,16.9093613196902,75.6308730939542,3.38960802616211,3.41931516597739,11.1103644206652,6.13,4.36746407652336,84.46347227,41441.0405993743,30.1448139796022,1.1938,34.7285151444461,6941.17408045006,41.6161684755719,69.7317733764648,Upper middle income
British Virgin Islands,VGB,24.9119606799929,22.253515787122474,80.29858548433496,-10.248023149210306,2.827305978218717,18.72486896696065,7.4332355864194035,2.377927165352188,77.7042682926829,114650.04725444871,88.88169552269352,1.6938194827586206,2.785426538579276,1443008.79126447,42.52544933085052,29.5605306799337,High income
Brunei Darussalam,BRN,21.1771240120937,27.6977511976314,37.7096482475039,0.189449066349964,4.05251709306727,1.06433459453488,1.53,-0.38867416503646,96.29828801,163274.360932634,88.88169552269352,0.27764,8.58680341460459,16128.509404155,42.52544933085052,36.4182725443167,High income
Bulgaria,BGR,37.0235717545079,18.3125447926031,47.067902488525,3.1312025090285,3.38709063847314,13.4299683659831,4.8,2.44651943006078,82.438955,74220.9073928333,7.42299355979162,0.79224,-2.48913081817616,50750.6030113542,0.16137690536978,69.5460433959961,High income
Burkina Faso,BFA,0.851360416490348,17.1648896381461,27.1571923411989,0.358681465803854,4.79980951667159,1.64548901950889,3.08,4.19081721344523,28.25270081,6470.85224017173,19.3294215119713,0.10477,6.13021813204196,28.8337642615132,0.307964508763167,10.0419678526515,Low income
Burundi,BDI,0.0203441336211462,19.542756224681025,37.0565348460861,1.08105925624791,4.11227376264944,1.30508367041098,1.91,20.2124925027847,8.595999718,2444.22745706811,19.3294215119713,0.21312,-6.52263211667207,10.6066536036355,0.307964508763167,6.38454008102417,Low income
Cabo Verde,CPV,8.30537440200276,22.565574471616195,54.3788465531014,4.03361601888808,7.24388538990945,1.15215005835922,3.32,1.0481698336865,74.73519897,26322.1641283167,46.000353126090864,0.48109393939393935,6.10758050034173,857.34372052881,23.542281764170973,24.2905954414767,Upper middle income
Cambodia,KHM,4.14566160137529,31.5853497927725,124.659765749466,9.48089832015712,5.97510939607335,5.26214140574212,1.04,0.808042016536654,68.47530365,12150.183075401,29.275103729502298,0.28836375,2.9678599520017483,817.289111657873,7.1222559820276485,21.4437426836662,Lower middle income
