Country,SVI,GII,GEI
south africa,0.4972752954535532,28.3372153734356,0.3290405208555527
spain,0.5884995531321854,44.9339244706781,0.45302643471929893
sri lanka,0.3733957384866078,22.6004533959574,0.21883257940758127
sweden,0.6498060804272104,64.5243654119219,0.7310506850434946
switzerland,0.6725831842081993,67.4730816860234,0.8044722635675341
tajikistan,0.3766233428918863,18.6020945976823,0.2003411917032374
thailand,0.5746616312490971,36.8870725902806,0.2743922302768962
tunisia,0.4624902100156371,25.353750006398,0.4244276856873011
uganda,0.3091558282217865,14.9445218165676,0.12852356650741392
ukraine,0.4566236865198178,29.4980452221873,0.2678216317460682
united arab emirates,0.6084454647735805,42.8040062426875,0.5348345988757979
united kingdom,0.6367335147023702,61.0493179555689,0.7775427954781132
uruguay,0.5341982409732762,29.1308891563885,0.3497593396325436
zambia,0.3154906143788696,15.6647721593439,0.19580837607343962
